time,lr,fb,ud,mag,raw
2026-05-19 11:30:14.214,2.50,9.10,-3.10,10.00,A:25;91;-31;100
2026-05-19 11:30:14.704,2.80,9.30,-1.80,9.90,A:28;93;-18;99
2026-05-19 11:30:15.238,1.90,9.30,-2.10,9.80,A:19;93;-21;98
2026-05-19 11:30:15.727,0.50,9.40,-2.60,9.80,A:5;94;-26;98
2026-05-19 11:30:16.211,1.10,9.50,-2.40,9.80,A:11;95;-24;98
2026-05-19 11:30:16.701,1.50,9.40,-2.30,9.80,A:15;94;-23;98
2026-05-19 11:30:17.237,2.10,9.50,-1.40,9.90,A:21;95;-14;99
2026-05-19 11:30:17.724,1.30,9.50,-2.10,9.90,A:13;95;-21;99
2026-05-19 11:30:18.214,0.20,9.50,-1.30,9.60,A:2;95;-13;96
2026-05-19 11:30:18.695,1.80,9.50,-1.80,9.90,A:18;95;-18;99
2026-05-19 11:30:19.233,2.50,9.40,-1.30,9.90,A:25;94;-13;99
2026-05-19 11:30:19.716,1.00,9.40,-2.30,9.80,A:10;94;-23;98
2026-05-19 11:30:20.207,0.30,9.20,-1.70,9.40,A:3;92;-17;94
2026-05-19 11:30:20.744,1.40,9.50,-1.60,9.80,A:14;95;-16;98
2026-05-19 11:30:21.227,1.00,9.40,-1.60,9.60,A:10;94;-16;96
2026-05-19 11:30:21.716,1.20,9.50,-1.50,9.70,A:12;95;-15;97
2026-05-19 11:30:22.210,1.30,9.50,-1.70,9.80,A:13;95;-17;98
2026-05-19 11:30:22.743,1.40,9.40,-1.70,9.70,A:14;94;-17;97
2026-05-19 11:30:23.234,1.10,9.50,-2.00,9.80,A:11;95;-20;98
2026-05-19 11:30:23.719,0.30,9.40,-1.70,9.50,A:3;94;-17;95
2026-05-19 11:30:24.209,0.70,9.20,-2.50,9.60,A:7;92;-25;96
2026-05-19 11:30:24.745,1.30,9.50,-0.90,9.60,A:13;95;-9;96
2026-05-19 11:30:25.233,2.30,9.10,-0.70,9.40,A:23;91;-7;94
2026-05-19 11:30:25.719,3.60,8.80,-2.20,9.80,A:36;88;-22;98
2026-05-19 11:30:26.206,1.10,9.80,-2.40,10.10,A:11;98;-24;101
2026-05-19 11:30:26.745,0.10,9.30,-1.80,9.50,A:1;93;-18;95
2026-05-19 11:30:27.232,0.00,9.20,-2.50,9.60,A:0;92;-25;96
2026-05-19 11:30:27.718,1.00,9.50,-1.10,9.60,A:10;95;-11;96
2026-05-19 11:30:28.208,3.10,9.80,-2.00,10.50,A:31;98;-20;105
2026-05-19 11:30:28.743,1.20,9.50,-2.10,9.90,A:12;95;-21;99
2026-05-19 11:30:29.233,-0.60,9.20,-1.90,9.40,A:-6;92;-19;94
2026-05-19 11:30:29.711,-0.80,9.50,-2.10,9.80,A:-8;95;-21;98
2026-05-19 11:30:30.205,0.80,9.50,-0.80,9.60,A:8;95;-8;96
2026-05-19 11:30:30.743,1.30,9.20,-3.20,9.90,A:13;92;-32;99
2026-05-19 11:30:31.228,0.60,9.60,-2.60,10.00,A:6;96;-26;100
2026-05-19 11:30:31.717,-0.90,9.50,-2.70,9.90,A:-9;95;-27;99
2026-05-19 11:30:32.205,0.40,9.80,-1.10,9.90,A:4;98;-11;99
2026-05-19 11:30:32.739,1.80,9.40,-1.70,9.70,A:18;94;-17;97
2026-05-19 11:30:33.227,1.60,9.40,-2.20,9.80,A:16;94;-22;98
2026-05-19 11:30:33.714,0.00,9.30,-2.00,9.50,A:0;93;-20;95
2026-05-19 11:30:34.203,0.10,9.10,-2.60,9.40,A:1;91;-26;94
2026-05-19 11:30:34.737,1.70,9.80,-1.60,10.00,A:17;98;-16;100
2026-05-19 11:30:35.227,2.10,9.10,-2.50,9.70,A:21;91;-25;97
2026-05-19 11:30:35.711,0.70,9.60,-1.90,9.80,A:7;96;-19;98
2026-05-19 11:30:36.202,0.30,9.30,-0.90,9.30,A:3;93;-9;93
2026-05-19 11:30:36.737,0.00,9.60,-1.80,9.80,A:0;96;-18;98
2026-05-19 11:30:37.225,0.70,9.50,-0.90,9.60,A:7;95;-9;96
2026-05-19 11:30:37.713,0.80,9.40,-1.20,9.50,A:8;94;-12;95
2026-05-19 11:30:38.202,2.00,10.00,-1.60,10.30,A:20;100;-16;103
2026-05-19 11:30:38.733,2.50,8.60,-1.40,9.10,A:25;86;-14;91
2026-05-19 11:30:39.225,3.00,9.00,-1.30,9.60,A:30;90;-13;96
2026-05-19 11:30:39.712,0.70,8.80,-0.10,8.80,A:7;88;-1;88
2026-05-19 11:30:40.249,2.60,9.40,-1.20,9.80,A:26;94;-12;98
2026-05-19 11:30:40.784,2.40,9.20,-1.10,9.60,A:24;92;-11;96
2026-05-19 11:30:41.224,3.40,9.10,-1.40,9.90,A:34;91;-14;99
2026-05-19 11:30:41.712,1.80,9.40,-1.60,9.70,A:18;94;-16;97
2026-05-19 11:30:42.249,0.40,9.80,-2.10,10.00,A:4;98;-21;100
2026-05-19 11:30:42.734,2.10,9.00,-1.80,9.40,A:21;90;-18;94
2026-05-19 11:30:43.223,2.60,9.40,-2.00,9.90,A:26;94;-20;99
2026-05-19 11:30:43.709,2.60,9.40,-2.40,10.10,A:26;94;-24;101
2026-05-19 11:30:44.246,0.80,9.60,-1.10,9.70,A:8;96;-11;97
2026-05-19 11:30:44.734,0.90,9.80,-1.70,10.00,A:9;98;-17;100
2026-05-19 11:30:45.221,3.10,9.30,0.00,9.80,A:31;93;0;98
2026-05-19 11:30:45.709,3.40,9.20,-2.30,10.00,A:34;92;-23;100
2026-05-19 11:30:46.245,1.20,9.80,-1.40,9.90,A:12;98;-14;99
2026-05-19 11:30:46.731,0.50,9.40,-2.60,9.80,A:5;94;-26;98
2026-05-19 11:30:47.220,2.20,9.20,-1.60,9.60,A:22;92;-16;96
2026-05-19 11:30:47.708,4.60,9.20,-2.00,10.50,A:46;92;-20;105
2026-05-19 11:30:48.240,2.10,9.50,-1.70,9.90,A:21;95;-17;99
2026-05-19 11:30:48.732,1.40,9.40,-1.30,9.60,A:14;94;-13;96
2026-05-19 11:30:49.218,1.80,9.40,-1.50,9.70,A:18;94;-15;97
2026-05-19 11:30:49.707,2.30,9.70,-0.90,10.00,A:23;97;-9;100
2026-05-19 11:30:50.244,3.20,9.00,-2.10,9.80,A:32;90;-21;98
2026-05-19 11:30:50.729,1.80,9.30,-0.70,9.50,A:18;93;-7;95
2026-05-19 11:30:51.218,0.90,9.20,-1.30,9.40,A:9;92;-13;94
2026-05-19 11:30:51.706,1.70,9.30,-1.50,9.60,A:17;93;-15;96
2026-05-19 11:30:52.243,2.50,9.20,-2.50,9.90,A:25;92;-25;99
2026-05-19 11:30:52.728,2.10,9.50,-1.70,9.90,A:21;95;-17;99
2026-05-19 11:30:53.214,1.40,9.40,-1.20,9.60,A:14;94;-12;96
2026-05-19 11:30:53.703,2.10,9.40,-1.20,9.70,A:21;94;-12;97
2026-05-19 11:30:54.241,1.60,9.40,-1.30,9.70,A:16;94;-13;97
2026-05-19 11:30:54.725,1.30,9.60,-1.80,9.90,A:13;96;-18;99
2026-05-19 11:30:55.216,1.90,9.30,-1.40,9.70,A:19;93;-14;97
2026-05-19 11:30:55.697,2.10,9.40,-1.50,9.80,A:21;94;-15;98
2026-05-19 11:30:56.239,1.80,9.50,-1.40,9.80,A:18;95;-14;98
2026-05-19 11:30:56.727,1.60,7.10,-0.80,7.30,A:16;71;-8;73
2026-05-19 11:30:57.227,0.90,-1.10,-0.30,1.50,A:9;-11;-3;15
2026-05-19 11:30:57.702,1.70,3.50,0.00,4.00,A:17;35;0;40
2026-05-19 11:30:58.234,2.30,9.10,-1.10,9.50,A:23;91;-11;95
2026-05-19 11:30:58.724,1.90,9.50,-1.10,9.70,A:19;95;-11;97
2026-05-19 11:30:59.213,2.00,6.30,-0.90,6.70,A:20;63;-9;67
2026-05-19 11:30:59.700,1.00,-1.60,0.00,1.90,A:10;-16;0;19
2026-05-19 11:31:00.239,2.20,5.40,0.10,5.80,A:22;54;1;58
2026-05-19 11:31:00.721,2.40,8.70,-0.60,9.10,A:24;87;-6;91
2026-05-19 11:31:01.210,2.40,9.40,-0.80,9.70,A:24;94;-8;97
2026-05-19 11:31:01.748,2.00,9.50,-1.10,9.80,A:20;95;-11;98
2026-05-19 11:31:02.234,2.00,9.60,-0.90,9.80,A:20;96;-9;98
2026-05-19 11:31:02.724,3.70,21.70,0.50,22.00,A:37;217;5;220
2026-05-19 11:31:03.209,3.80,18.80,-1.10,19.20,A:38;188;-11;192
2026-05-19 11:31:03.746,2.70,10.20,-2.20,10.80,A:27;102;-22;108
2026-05-19 11:31:04.234,1.90,9.10,-1.20,9.40,A:19;91;-12;94
2026-05-19 11:31:04.721,2.30,9.40,-0.80,9.80,A:23;94;-8;98
2026-05-19 11:31:05.209,1.30,7.60,-0.80,7.80,A:13;76;-8;78
2026-05-19 11:31:05.746,0.60,-1.40,-0.50,1.60,A:6;-14;-5;16
2026-05-19 11:31:06.232,1.10,3.50,-0.10,3.70,A:11;35;-1;37
2026-05-19 11:31:06.717,2.20,11.30,-1.40,11.60,A:22;113;-14;116
2026-05-19 11:31:07.204,2.20,9.30,-1.00,9.70,A:22;93;-10;97
2026-05-19 11:31:07.742,2.00,9.50,-1.20,9.80,A:20;95;-12;98
2026-05-19 11:31:08.232,1.70,9.50,-1.20,9.70,A:17;95;-12;97
2026-05-19 11:31:08.716,1.90,9.50,-1.10,9.80,A:19;95;-11;98
2026-05-19 11:31:09.206,2.00,9.30,-0.80,9.60,A:20;93;-8;96
2026-05-19 11:31:09.743,1.60,8.80,1.30,9.10,A:16;88;13;91
2026-05-19 11:31:10.231,1.40,10.70,4.00,11.50,A:14;107;40;115
2026-05-19 11:31:10.717,1.40,7.10,0.50,7.20,A:14;71;5;72
2026-05-19 11:31:11.205,2.00,9.70,-0.40,10.00,A:20;97;-4;100
2026-05-19 11:31:11.742,1.70,9.30,0.00,9.50,A:17;93;0;95
2026-05-19 11:31:12.225,1.40,7.80,4.00,8.90,A:14;78;40;89
2026-05-19 11:31:12.717,1.70,9.80,4.90,11.10,A:17;98;49;111
2026-05-19 11:31:13.202,2.70,9.20,-0.20,9.60,A:27;92;-2;96
2026-05-19 11:31:13.739,1.40,9.50,-0.90,9.70,A:14;95;-9;97
2026-05-19 11:31:14.228,2.10,8.70,-0.70,9.00,A:21;87;-7;90
2026-05-19 11:31:14.715,2.00,7.10,7.80,10.80,A:20;71;78;108
2026-05-19 11:31:15.202,2.10,7.90,3.40,8.90,A:21;79;34;89
