archivo,origen,bytes,sha256,resultado
SS000008_SD_ORIGINAL.CSV,microSD,23987,67487AEE6541263C0A76B068D08021C010852A6A7F51F6158190F0E4601EC301,IDENTICO
SS000008_APP_BLE.CSV,telefono_descarga_BLE,23987,67487AEE6541263C0A76B068D08021C010852A6A7F51F6158190F0E4601EC301,IDENTICO
